,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
,5,520.7,240.2,22.1,0,3,104,7200,2400,0,0,0,2,0.834
,6,520.7,155.3,22.4,0,3,104,6800,1600,0,0,0,4,0.848
,7,520.7,77,23,0,2,105,7050,2470,0,12.1,0,4,0.862
,8,520.7,146.3,22.5,0,2,108,7140,2550,2.7,20.5,0,4,1.023
,9,520.7,216.3,21.2,0,4,111,7430,2950,11.6,50.3,0,6,1.679
,10,520.7,77.1,22.4,0,4,106,7700,3300,92.9,67.7,0,6,1.839
Sec_11,1,520.7,539.7,17.4,2,4,116,3470,490,0,145.1,0,18,0.391
,2,520.7,377,17.2,0,3,113,3600,525,0,155.7,0,18,0.398
,3,520.7,539.1,17.5,0,4,116,3800,550,1.7,170.8,2,18,0.4
,4,520.7,422.7,17.6,0,3,121,3900,590,2.3,178.2,25,19,0.411
,5,520.7,466,18.1,0,2,123,4000,370,7.1,189.2,64,19,0.432
,6,520.7,322.1,18.4,0,3,114,4800,580,14.5,205.3,71,20,0.455
,7,520.7,190.4,18.9,0,2,120,5100,550,21.4,222.3,78,20,0.469
,8,520.7,297.5,18.3,0,2,110,5300,500,27.8,270.6,88,22,0.476
,9,520.7,326.3,17.2,0,4,114,4400,550,31.2,288.6,91,23,0.527
,10,520.7,160.8,18.5,0,3,113,10675,1413,38.9,307,98,23,0.54
Sec_12,1,505.5,272.7,19,0,4,103,4400,440,3.8,22.5,14,12,1.01
,2,505.5,155,19.8,0,3,109,4400,440,4.1,25.1,15,13,1.03
,3,505.5,380.7,18.5,1,3,111,4200,465,5.1,38.2,32,13,1.05
,4,505.5,349.8,18.4,0,3,115,3900,475,5.6,38.4,59,14,1.09
,5,505.5,441.3,18.6,0,4,115,4100,500,5.8,77.5,97,15,1.12
,6,505.5,288.6,18.7,0,3,110,4500,300,7.7,103.5,117,15,1.328
,7,505.5,413.4,19.2,0,3,113,4720,240,77.7,153.8,166,15,1.329
,8,505.5,272.5,19.4,0,3,108,5440,330,95.6,166.9,176,17,1.332
,9,505.5,141.2,19.9,0,2,105,5600,300,103.9,180.2,188,9,1.358
,10,505.5,198.7,19.4,0,2,106,5850,375,107.8,188.4,205,10,1.349
Sec_13,1,469.9,446.5,15.4,1.4,5,109,5600,2200,0,0,0,0,0.753
,2,469.9,177.5,16.8,0,3,106,6412,1596,0,0,0,2,0.78
,3,469.9,175.7,17.3,0,2,108,6783,1689,0,0,0,2,0.795
,4,469.9,313.3,17.2,0,3,110,7175,1787,0,0,0,3,0.821
,5,469.9,87.4,17.2,0,3,105,7567,1885,0,32.1,0,3,0.834
,6,469.9,298.4,17.4,1,3,110,5029,3042,0,63.9,0,4,0.863
,7,469.9,431,16.7,0,3,108,5043,2660,0,109.1,2,4,0.911
,8,469.9,533,16.5,0,4,108,4642,2299,0,132.1,2,4,0.952
,9,469.9,196.5,16.9,2,3,115,5054,2729,0,210.5,9,5,1.183
,10,469.9,306.2,17,7,2,112,5883,2847,0,271.8,10,5,1.296
Sec_14,1,439.6,427.9,12.4,97,4,116,4200,1260,0,6.5,0,5,0.965
,2,439.6,419.2,12.2,14.7,6,114,3750,1425,0,8,0,5,1.086
,3,439.6,420.4,12.6,34,6,120,3950,1500,0,11.3,0,6,1.091
,4,439.6,463.2,12,13,6,113,3900,1530,0,16.5,0,6,1.064
,5,439.6,280,12.9,23.4,5,116,3840,1580,0,18.5,0,7,1.086
,6,439.6,288.8,13.3,4.6,6,112,3560,1640,1,21,0,7,1.091
,7,439.6,226.2,13.7,18,4,111,3800,1900,1,21.1,4,7,1.155
,8,439.6,400.6,13.1,37.5,2,110,3900,1950,15,28.1,4,8,1.185
,9,439.6,390.5,11.9,16.6,5,112,4040,2000,85,28.3,4,8,1.265
,10,439.6,204.4,13.1,6.2,4,107,4200,2100,86.5,28.9,4,8,1.449
Sec_15,1,593.9,79.5,18.7,5,2,108,2450,245,24.2,165.8,69,5,1.671
,2,593.9,175.3,17.6,17,3,110,2400,300,55.8,166.1,91,5,1.681
,3,593.9,218.6,17.4,0,4,112,2300,350,131.9,167.5,101,8,1.703
,4,593.9,304.7,17.8,1,3,114,2400,375,133.2,171.8,109,8,1.712
,5,593.9,354.5,17,0,3,117,2600,390,214.4,194.3,116,11,1.721
,6,593.9,161.1,18.2,0,4,106,2800,400,220.5,199.5,119,11,1.734
,7,593.9,170.7,18.5,0,4,110,3020,660,265.7,234.6,127,14,1.882
,8,593.9,223.9,18.9,0,3,110,3060,720,286.7,244.1,129,16,1.93
,9,593.9,228.2,18.4,0.1,2,113,3200,700,305,257.8,133,16,1.946
,10,593.9,225,17.2,0,4,114,3400,740,305,261.3,139,16,1.962
Sec_16,1,487.6,70.7,20.2,0,2,108,3400,180,5.5,7.4,11,4,1.721
,2,487.6,152.1,19.1,5,3,108,3200,180,17.3,49.9,44,5,1.741
,3,487.6,224.4,18.8,0,4,109,3000,190,62.3,93.2,59,6,1.883
,4,487.6,300.6,19.2,0,2,107,3150,200,159.2,103.7,61,6,1.995
,5,487.6,382.6,18.6,0,4,109,3300,170,167.4,115.6,64,6,2.358
,6,487.6,192.9,19.6,0,4,107,3400,140,177.5,123.5,85,7,1.38
,7,487.6,174.1,20,0,4,109,3400,210,194.5,131.7,114,7,2.423
,8,487.6,221.6,20.4,0,3,107,3500,250,228.8,148.3,128,8,2.515
,9,487.6,225.4,19.8,0,2,111,3650,300,239.2,156.4,137,10,2.561
,10,487.6,244.1,18.5,0,4,109,4200,350,248.8,160.5,141,10,2.6
Sec_17,1,432,218.8,14.2,1,3,102,6412,1596,0,0,0,0,0.31
,2,432,269,14.8,1,3,112,6783,1689,0,0,0,0,0.33
,3,432,362.5,14.7,10,4,117,7175,1787,0,0,0,2,0.341
,4,432,176.8,14.9,4,3,107,7567,1885,0,0,0,2,0.347
,5,432,327.3,15,4,3,115,5174,3130,0,0,0,3,0.351
,6,432,470.6,14.3,3,4,109,5190,2737,0,0,0,3,0.365
,7,432,520.1,14.1,4,6,115,4777,2365,7,158.1,0,3,0.382
,8,432,288.2,14.3,6,3,115,5201,2808,18.7,239.9,1,3,0.402
,9,432,328.5,14.7,22,2,119,6167,2984,23.1,274.2,20,3,0.415
,10,432,502.8,14.1,19,4,111,6250,3100,25.6,288.3,50,3,0.445
Sec_18,1,492.8,338.4,16.8,0.3,4,110,7200,1944,0,0,0,11,1.154
,2,492.8,159.8,17.7,0,3,115,7200,2160,0,20.2,0,11,1.182
,3,492.8,662.9,16.5,5,4,114,7840,3136,0,50,0,12,1.219
,4,492.8,332.3,16.2,0,3,120,6650,1575,0,88.5,1,13,1.291
,5,492.8,530.4,16.4,0,5,113,7000,1650,0,89,2,13,1.353
,6,492.8,355.2,16.7,0,4,119,6800,1400,0,93.5,2,14,1.393
,7,492.8,405.2,17.2,0,3,115,7150,1600,0,98.2,5,14,1.445
,8,492.8,280.1,17.4,0,3,108,7500,2250,0,116.8,10,14,1.487
,9,492.8,183.2,17.8,0,2,113,7300,2500,0,125.4,10,15,1.521
,10,492.8,276.4,17.4,1,2,111,7800,2140,0,131.6,10,17,1.604
Sec_19,1,1028.7,380.7,18.5,1,3,111,5300,180,0,287.6,32,6,0.752
,2,1028.7,349.8,18.4,0,3,115,5550,230,3.2,361.3,43,6,0.781
,3,1028.7,441.3,18.6,0,4,115,5850,240,5.4,365.1,54,7,0.803
,4,1028.7,288.6,18.7,0,3,110,5990,310,5.9,390.5,58,8,0.93
,5,1028.7,413.4,19.2,0,3,113,6200,400,6.1,405.4,64,8,0.987
,6,1028.7,272.5,19.4,0,3,108,7200,580,8.7,480.2,102,12,1.02
,7,1028.7,141.2,19.9,0,2,105,6700,550,32.5,520.4,116,12,1.07
,8,1028.7,198.7,19.4,0,2,106,7000,550,80.4,560.2,124,15,1.197
,9,1028.7,282.8,18.2,0,4,114,8000,600,115.2,605.3,137,18,1.243
,10,1028.7,101.6,19.6,0,2,101,8171,544,119.4,612.4,140,19,1.316
Sec_20,1,454.6,145.6,21.7,0,3,106,3650,730,0,0,0,0,
,2,454.6,212.3,22.4,0,3,109,3500,700,2.3,0,0,0,0.591
,3,454.6,181.8,21.3,0,3,109,4500,900,4.6,0,0,0,0.626
,4,454.6,247.1,21.1,0,3,117,2100,625,6.3,6.3,47.9,5,0.643
,5,454.6,291.6,21.3,0,2,110,2200,650,13.3,15.3,53.5,9,0.674
,6,454.6,264.1,21.1,0,4,111,2700,690,63.2,25.3,57,20,0.697
,7,454.6,213.8,21.8,0,2,109,2800,700,150.4,34.3,62.4,40,0.721
,8,454.6,174.1,22.2,0,3,110,2850,700,240.2,63.2,67,95,0.735
,9,454.6,93.8,22.6,0,2,107,3000,780,304.8,120.5,69,100,0.759
,10,454.6,108.7,22.1,0,2,112,3100,820,330.4,304.8,75,110,0.78
Sec_21,1,459.7,390.5,16.4,0,3,112,3080,248,0,0,0,0,0.61
,2,459.7,396.7,17.8,0,5,115,3960,320,0,0,0,0,0.64
,3,459.7,210.2,18.7,0,3,113,4400,352,0,0,1,0,0.65
,4,459.7,539.7,17.4,2,4,116,4100,410,0,0,1,1,0.67
,5,459.7,377,17.2,0,3,121,3600,450,0,0,1,2,0.73
,6,459.7,539.1,17.5,0,4,123,3800,475,0,5.6,2,2,0.74
,7,459.7,422.7,17.6,0,3,114,3900,495,0,12.4,5,3,0.76
,8,459.7,466,18.1,0,2,120,4050,522,0,67.7,9,4,0.77
,9,459.7,322.1,18.4,0,3,110,4230,553,0.4,76.2,13,6,0.81
,10,459.7,190.4,18.9,0,2,114,4360,567,1.2,86.3,16,6,0.845
Sec_22,1,533.2,340.4,15.6,0,4,115,2230,346,10.9,0,0,4,0.715
,2,533.3,218.6,17.4,0,4,112,2300,350,11.3,0,0,4,0.725
,3,533.3,304.7,17.8,1,3,114,2400,375,100.5,0,0,7,0.781
,4,533.3,354.5,17,0,3,117,2600,390,210.7,0,0,7,0.796
,5,533.3,161.1,18.2,0,4,106,2800,400,300.59,2,0,7,0.929
,6,533.3,170.7,18.5,0,4,110,3020,660,355.9,3,0,7,0.991
,7,533.3,223.9,18.9,0,3,110,3060,720,380.9,4,6,8,1.1
,8,533.3,228.2,18.4,0.1,2,113,3200,700,426.2,4,6,8,1.183
,9,533.3,225,17.2,0,4,114,3350,790,513.5,5,6,10,1.585
,10,533.3,130,18.4,0,3,103,3500,900,579.1,5,10,10,1.563
Sec_23,1,579.1,175.3,17.6,17,3,110,2100,275,22.5,2.4,0,1,0.56
,2,579.1,218.6,17.4,0,4,112,2300,350,49.5,4.7,1,3,0.632
,3,579.1,304.7,17.8,1,3,114,2400,375,80.2,16.7,1,5,0.74
,4,579.1,354.5,17,0,3,117,2500,400,115.7,29.5,1,6,0.742
,5,579.1,161.1,18.2,0,4,106,2800,400,166.4,66.8,1,6,0.765
,6,579.1,170.7,18.5,0,4,110,3020,660,250.4,72.8,2,7,0.793
,7,579.1,223.9,18.9,0,3,110,3060,720,305,81.6,2,8,0.812
,8,579.1,228.2,18.4,0.1,2,113,3200,700,365.9,95.6,2,9,0.851
,9,579.1,225,17.2,0,4,114,3350,790,440.3,112.5,4,9,0.975
,10,579.1,130,18.4,0,3,103,3500,900,524.6,135.6,4,11,0.994
Sec_24,1,279.4,160.5,18.4,0,4,106,5940,1160,0,0,0,4,1.16
,2,279.4,161.1,18.2,0,4,106,5950,1190,0,0,0,5,1.18
,3,279.4,170.7,18.5,0,4,110,5950,1190,7.6,0,0,7,1.183
,4,279.4,223.9,18.9,0,3,110,6260,1250,14.3,0,0,7,1.184
,5,279.4,228.2,18.4,0.1,2,113,6680,1500,22.4,0,0,8,1.186
,6,279.4,225,17.2,0,4,114,6950,1750,25.3,0,0,8,1.218
,7,279.4,130,18.4,0,3,103,7635,1950,27.4,0,115,9,1.258
,8,279.4,100.6,19,0,2,114,8540,2180,59.6,23.5,121,10,1.269
,9,279.4,176.5,19,0,3,108,9120,2300,69.7,30.6,231,11,1.292
,10,279.4,53.6,19,0,2,105,9870,2450,74.5,58.2,266.4,14,1.332
Sec_25,1,271.8,354.5,17,0,3,117,2600,400,0,0,0,6,0.912
,2,271.8,161.1,18.2,0,4,106,5950,1190,0,0,0,6,1.012
,3,271.8,170.7,18.5,0,4,110,5950,1190,0,18.3,0,6,1.026
,4,271.8,223.9,18.9,0,3,113,6260,1250,180.4,25.3,0,7,1.0678
,5,271.8,228.2,18.4,0.1,2,114,6680,1500,184.3,37.2,0,7,1.086
,6,271.8,225,17.2,0,4,103,6900,1630,209.3,61,1,8,1.346
,7,271.8,130,18.4,0,3,114,7460,1850,335.7,130.3,1,8,1.403
,8,271.8,100.6,19,0,2,108,8540,2180,338.4,260.4,1,8,1.475
,9,271.8,176.5,19,0,3,105,7200,2300,341.2,300.6,105,8,1.552
,10,271.8,53.6,19,0,2,110,4080,940,345.1,316.6,184,8,1.609
Sec_26,1,548.6,236.7,22.2,0,3,103,7200,2260,0,0,0,0,0.812
,2,548.6,240.2,22.1,0,3,104,7050,2470,0,0,0,0,0.823
,3,548.6,155.3,22.4,0,3,104,7300,2850,0,0,0,3,0.8324
,4,548.6,77,23,0,2,105,9000,3500,0,0,0,3,0.845
,5,548.6,146.3,22.5,0,2,108,10500,5430,0,0,0,4,0.867
,6,548.6,216.3,21.2,0,4,111,12500,6870,0,0,0,4,0.869
,7,548.6,77.1,22.4,0,4,106,18000,7500,1.5,9.1,0,4,0.893
,8,548.6,90.3,22.8,0,2,105,21500,8240,6.7,38.5,0,5,0.927
,9,548.6,238.5,22.8,0,2,103,26640,9353,8.4,76.8,1,5,1.043
,10,548.6,62,22.7,0,2,102,30535,10234,76.9,97.5,13,5,1.05
Sec_27,1,563.9,336.6,21.3,0,4,106,6800,1600,0,0,0,0,
,2,563.9,240.2,22.1,0,3,104,7050,2470,0,0,0,0,0.881
,3,563.9,155.3,22.4,0,3,104,7300,2800,0,0,0,0,0.892
,4,563.9,77,23,0,2,105,7850,3500,0,0,0,6,0.912
,5,563.9,146.3,22.5,0,2,108,10500,5430,0,0,0,6,0.923
,6,563.9,216.3,21.2,0,4,111,12500,6870,0,0,0,6,0.939
,7,563.9,77.1,22.4,0,4,106,18000,7600,0,0,0,7,0.954
,8,563.9,90.3,22.8,0,2,105,21500,8240,0,0,0,7,0.96
,9,563.9,238.5,22.8,0,2,103,26640,9353,0,72.6,0,8,0.986
,10,563.9,62,22.7,0,2,102,30535,10234,42.5,107.6,0,8,0.998
Sec_28,1,543.6,272.7,19,0,4,103,4400,440,0,0,0,1,0
,2,543.6,155,19.8,0,3,109,4400,440,0,0,1,4,0.921
,3,543.6,380.7,18.5,1,3,111,4500,455,0,0,1,4,0.954
,4,543.6,349.8,18.4,0,3,115,3900,475,0,21.5,3,5,0.989
,5,543.6,441.3,18.6,0,4,115,4100,500,0,27.6,4,5,1.059
,6,543.6,288.6,18.7,0,3,110,4300,300,0,55.3,4,5,1.062
,7,543.6,413.4,19.2,0,3,113,4720,240,0,56.7,4,6,1.07
,8,543.6,272.5,19.4,0,3,108,5440,330,0,64.8,5,7,1.079
,9,543.6,141.2,19.9,0,2,105,5600,300,0,73.9,5,7,1.083
,10,543.6,198.7,19.4,0,2,106,5800,450,0,83.5,6,7,1.088
Sec_29,1,475,380.7,18.5,1,3,111,3780,467,7.5,82.1,2,18,0.994
,2,475,349.8,18.4,0,3,115,3900,475,17.2,104,6,18,1.051
,3,475,441.3,18.6,0,4,115,4100,500,19.3,111.6,24,19,1.091
,4,475,288.6,18.7,0,3,110,4600,300,20.3,140.6,36,19,1.099
,5,475,413.4,19.2,0,3,113,4720,240,211.6,180.5,43,19,1.11
,6,475,272.5,19.4,0,3,108,5440,330,258.8,191.3,45,20,1.12
,7,475,141.2,19.9,0,2,105,5600,300,271.8,195.5,51,20,1.15
,8,475,198.7,19.4,0,2,106,6500,460,298.5,221.4,54,21,1.17
,9,475,282.8,18.2,0,4,114,7000,500,318.5,240.4,55,21,1.19
,10,475,101.6,19.6,0,2,101,4927,774,340.5,262.3,62,21,1.22
Sec_30,1,508,272.7,19,0,4,103,4400,440,0,0,0,0,1.114
,2,508,155,19.8,0,3,109,4400,440,0,0,1,6,1.179
,3,508,380.7,18.5,1,3,111,4250,450,0,0,1,9,1.961
,4,508,349.8,18.4,0,3,115,3900,475,0,0,1,19,2.336
,5,508,441.3,18.6,0,4,115,4100,500,0,0,4,24,2.421
,6,508,288.6,18.7,0,3,110,4500,450,0,0,4,27,2.678
,7,508,413.4,19.2,0,3,113,4720,240,0,0,5,29,2.917
,8,508,272.5,19.4,0,3,108,5440,330,0,0,5,36,3.12
,9,508,141.2,19.9,0,2,105,5600,300,0,0,5,39,3.45
,10,508,198.7,19.4,0,2,106,5850,350,0.1,0,7,42,3.54
Sec_31,1,477.5,396.7,17.8,0,5,115,3720,297,0,0,0,0,0.725
,2,477.5,210.2,18.7,0,3,113,3520,282,0,0,0,0,0.745
,3,477.5,539.7,17.4,2,4,116,3640,340,0,17.4,0,0,0.785
,4,477.5,377,17.2,0,3,121,3700,475,0,28.5,5,9,0.834
,5,477.5,539.1,17.5,0,4,123,3900,500,0,33.5,5,9,0.895
,6,477.5,422.7,17.6,0,3,114,4200,550,0,45.2,5,10,0.95
,7,477.5,466,18.1,0,2,120,4550,575,0,54.3,6,11,0.993
,8,477.5,322.1,18.4,0,3,110,4830,530,0,63.5,6,11,1.13
,9,477.5,190.4,18.9,0,2,114,4800,550,26.2,73.5,6,13,1.232
,10,477.5,297.5,18.3,0,2,113,5300,500,26.9,82.3,6,13,1.351
Sec_32,1,411.5,1845.3,16.9,10,23,110,753,330,0,0,0,5,0.897
,2,411.5,1258.2,17.5,6.6,21,113,775,339,1.8,1,0,6,0.903
,3,411.5,1201.5,16.9,27,19,113,798,350,21.1,3.7,0,6,0.94
,4,411.5,1475.3,17.1,5.3,14,114,822,360,30.6,14.6,0,7,0.972
,5,411.5,1396.7,18.4,0,16,115,847,371,109.2,45.5,0,7,0.978
,6,411.5,1145.2,18,6.2,12,118,872,382,114.4,20.4,0,8,1.121
,7,411.5,845.2,17.8,12,12,116,899,394,119.3,26.7,0,8,1.185
,8,411.5,1167.2,17.4,3,12,118,925,405,125.8,31.4,1,10,1.373
,9,411.5,1117.8,18,3,16,114,953,418,148.9,45.5,0,11,1.708
,10,411.5,1593.8,17.1,6,15,114,982,430,190.1,52.4,0,17,2.183
Sec_33,1,619.76,1396.7,15.3,30.3,20,118,1083,474,0,0,0,2,0.787
,2,619.76,1459.9,17.2,6.4,13,118,1115,489,0,0,0,2,0.792
,3,619.76,1190.3,16.6,20.4,11,118,1149,503,0,0,0,2,0.801
,4,619.76,944.8,16.4,41,12,113,1183,518,0,32.1,1,2,0.804
,5,619.76,1469.2,15.7,20,17,117,1219,534,0,60.9,0,2,0.807
,6,619.76,1402.5,16.4,11,17,117,1255,550,0.6,160.4,0,2,0.809
,7,619.76,1671.9,15.8,26,13,112,1293,566,6.2,191.5,1,2,0.81
,8,619.76,1588.4,16.3,16,21,112,1332,583,6.9,206.4,19,3,0.826
,9,619.76,1411.8,16.3,7,12,113,1372,601,24.1,219.4,0,3,0.829
,10,619.76,1249.9,16.6,4,15,115,1413,619,305,229.7,22,3,0.834
Sec_34,1,729,57.7,16.8,16,4,113,2325,2237,0,0,0,0,0.984
,2,729,113.5,16.4,0,5,117,2960,2435,0,0,0,0,1.051
,3,729,208.7,16.9,0,3,119,3342,2679,0,0,0,4,1.891
,4,729,202.8,16.2,0,4,117,6272,3073,0,0.8,0,5,1.123
,5,729,75.3,17.1,0,3,114,5572,2730,0,2.6,6,6,1.164
,6,729,190.4,17.5,0,3,117,5012,2455,6.8,34.5,8,7,1.238
,7,729,76.7,18.1,0,3,116,5012,2455,65.5,43.5,8,7,1.296
,8,729,179.4,17.6,0,2,112,4407,1676,101.4,59.5,8,7,1.351
,9,729,165.6,15.9,0.4,3,110,5132,2435,198.7,113.2,15,8,1.438
,10,729,89.8,17.2,0,4,108,5539,3432,254.7,217.9,29,8,1.733
Sec_35,1,442,645,8.2,206,4,117,5425,3905,0,0,0,0,0.721
